"jurisdiccion"
"capital_federal"
"buenos_aires"
"catamarca"
"cordoba"
"corrientes"
"chaco"
"chubut"
"entre_rios"
"formosa"
"jujuy"
"la_pampa"
"la_rioja"
"mendoza"
"misiones"
"neuquen"
"rio_negro"
"salta"
"san_juan"
"san_luis"
"santa_cruz"
"santa_fe"
"santiago_del_estero"
"tucuman"
"tierra_del_fuego"
